fold_id,train_start_pos,train_end_pos,test_start_pos,test_end_pos,train_start_ts,train_end_ts,test_start_ts,test_end_ts,train_bars,test_bars,in_2022
144,3899,4151,4151,4214,2018-08-07,2019-07-25,2019-07-26,2019-10-22,252,63,False
145,3920,4172,4172,4235,2018-09-05,2019-08-23,2019-08-26,2019-11-20,252,63,False
146,3941,4193,4193,4256,2018-10-04,2019-09-23,2019-09-24,2019-12-19,252,63,False
147,3962,4214,4214,4277,2018-11-02,2019-10-22,2019-10-23,2020-01-20,252,63,False
148,3983,4235,4235,4298,2018-12-03,2019-11-20,2019-11-21,2020-02-18,252,63,False
149,4004,4256,4256,4319,2019-01-02,2019-12-19,2019-12-20,2020-03-18,252,63,False
150,4025,4277,4277,4340,2019-01-31,2020-01-20,2020-01-21,2020-04-16,252,63,False
151,4046,4298,4298,4361,2019-03-01,2020-02-18,2020-02-19,2020-05-15,252,63,False
152,4067,4319,4319,4382,2019-04-01,2020-03-18,2020-03-19,2020-06-15,252,63,False
153,4088,4340,4340,4403,2019-04-30,2020-04-16,2020-04-17,2020-07-14,252,63,False
154,4109,4361,4361,4424,2019-05-29,2020-05-15,2020-05-18,2020-08-12,252,63,False
155,4130,4382,4382,4445,2019-06-27,2020-06-15,2020-06-16,2020-09-10,252,63,False
156,4151,4403,4403,4466,2019-07-26,2020-07-14,2020-07-15,2020-10-09,252,63,False
157,4172,4424,4424,4487,2019-08-26,2020-08-12,2020-08-13,2020-11-09,252,63,False
158,4193,4445,4445,4508,2019-09-24,2020-09-10,2020-09-11,2020-12-08,252,63,False
159,4214,4466,4466,4529,2019-10-23,2020-10-09,2020-10-12,2021-01-07,252,63,False
160,4235,4487,4487,4550,2019-11-21,2020-11-09,2020-11-10,2021-02-05,252,63,False
161,4256,4508,4508,4571,2019-12-20,2020-12-08,2020-12-09,2021-03-08,252,63,False
162,4277,4529,4529,4592,2020-01-21,2021-01-07,2021-01-08,2021-04-06,252,63,False
163,4298,4550,4550,4613,2020-02-19,2021-02-05,2021-02-08,2021-05-05,252,63,False
164,4319,4571,4571,4634,2020-03-19,2021-03-08,2021-03-09,2021-06-03,252,63,False
165,4340,4592,4592,4655,2020-04-17,2021-04-06,2021-04-07,2021-07-02,252,63,False
166,4361,4613,4613,4676,2020-05-18,2021-05-05,2021-05-06,2021-08-02,252,63,False
167,4382,4634,4634,4697,2020-06-16,2021-06-03,2021-06-04,2021-08-31,252,63,False
168,4403,4655,4655,4718,2020-07-15,2021-07-02,2021-07-05,2021-09-29,252,63,False
169,4424,4676,4676,4739,2020-08-13,2021-08-02,2021-08-03,2021-10-28,252,63,False
170,4445,4697,4697,4760,2020-09-11,2021-08-31,2021-09-01,2021-11-26,252,63,False
171,4466,4718,4718,4781,2020-10-12,2021-09-29,2021-09-30,2021-12-27,252,63,False
172,4487,4739,4739,4802,2020-11-10,2021-10-28,2021-10-29,2022-01-25,252,63,True
173,4508,4760,4760,4823,2020-12-09,2021-11-26,2021-11-29,2022-02-23,252,63,True
174,4529,4781,4781,4844,2021-01-08,2021-12-27,2021-12-28,2022-03-24,252,63,True
175,4550,4802,4802,4865,2021-02-08,2022-01-25,2022-01-26,2022-04-22,252,63,True
176,4571,4823,4823,4886,2021-03-09,2022-02-23,2022-02-24,2022-05-23,252,63,True
177,4592,4844,4844,4907,2021-04-07,2022-03-24,2022-03-25,2022-06-21,252,63,True
178,4613,4865,4865,4928,2021-05-06,2022-04-22,2022-04-25,2022-07-20,252,63,True
179,4634,4886,4886,4949,2021-06-04,2022-05-23,2022-05-24,2022-08-18,252,63,True
180,4655,4907,4907,4970,2021-07-05,2022-06-21,2022-06-22,2022-09-16,252,63,True
181,4676,4928,4928,4991,2021-08-03,2022-07-20,2022-07-21,2022-10-17,252,63,True
182,4697,4949,4949,5012,2021-09-01,2022-08-18,2022-08-19,2022-11-15,252,63,True
183,4718,4970,4970,5033,2021-09-30,2022-09-16,2022-09-19,2022-12-14,252,63,True
184,4739,4991,4991,5054,2021-10-29,2022-10-17,2022-10-18,2023-01-12,252,63,True
185,4760,5012,5012,5075,2021-11-29,2022-11-15,2022-11-16,2023-02-10,252,63,True
186,4781,5033,5033,5096,2021-12-28,2022-12-14,2022-12-15,2023-03-13,252,63,True
187,4802,5054,5054,5117,2022-01-26,2023-01-12,2023-01-13,2023-04-11,252,63,False
188,4823,5075,5075,5138,2022-02-24,2023-02-10,2023-02-13,2023-05-10,252,63,False
189,4844,5096,5096,5159,2022-03-25,2023-03-13,2023-03-14,2023-06-08,252,63,False
190,4865,5117,5117,5180,2022-04-25,2023-04-11,2023-04-12,2023-07-07,252,63,False
191,4886,5138,5138,5201,2022-05-24,2023-05-10,2023-05-11,2023-08-07,252,63,False
192,4907,5159,5159,5222,2022-06-22,2023-06-08,2023-06-09,2023-09-05,252,63,False
193,4928,5180,5180,5243,2022-07-21,2023-07-07,2023-07-10,2023-10-04,252,63,False
194,4949,5201,5201,5264,2022-08-19,2023-08-07,2023-08-08,2023-11-02,252,63,False
195,4970,5222,5222,5285,2022-09-19,2023-09-05,2023-09-06,2023-12-01,252,63,False
196,4991,5243,5243,5306,2022-10-18,2023-10-04,2023-10-05,2024-01-03,252,63,False
197,5012,5264,5264,5327,2022-11-16,2023-11-02,2023-11-03,2024-02-01,252,63,False
198,5033,5285,5285,5348,2022-12-15,2023-12-01,2023-12-04,2024-03-01,252,63,False
199,5054,5306,5306,5369,2023-01-13,2024-01-03,2024-01-04,2024-04-01,252,63,False
200,5075,5327,5327,5390,2023-02-13,2024-02-01,2024-02-02,2024-04-30,252,63,False
201,5096,5348,5348,5411,2023-03-14,2024-03-01,2024-03-04,2024-05-29,252,63,False
202,5117,5369,5369,5432,2023-04-12,2024-04-01,2024-04-02,2024-06-27,252,63,False
203,5138,5390,5390,5453,2023-05-11,2024-04-30,2024-05-01,2024-07-26,252,63,False
204,5159,5411,5411,5474,2023-06-09,2024-05-29,2024-05-30,2024-08-26,252,63,False
205,5180,5432,5432,5495,2023-07-10,2024-06-27,2024-06-28,2024-09-24,252,63,False
206,5201,5453,5453,5516,2023-08-08,2024-07-26,2024-07-29,2024-10-23,252,63,False
207,5222,5474,5474,5537,2023-09-06,2024-08-26,2024-08-27,2024-11-21,252,63,False
208,5243,5495,5495,5558,2023-10-05,2024-09-24,2024-09-25,2024-12-20,252,63,False
