fold_id,test_start_ts,test_end_ts,in_2022,n_valid_assets,fold_median_sharpe,fold_mean_sharpe,fold_portfolio_sharpe,is_valid
188,2023-02-13,2023-05-10,False,8,0.7625,0.1228,1.4606,True
189,2023-03-14,2023-06-08,False,8,-0.2871,0.1116,0.0911,True
190,2023-04-12,2023-07-07,False,8,0.267,0.3334,0.3263,True
191,2023-05-11,2023-08-07,False,8,-0.004,0.455,1.5199,True
192,2023-06-09,2023-09-05,False,8,-0.2122,0.4369,1.3419,True
193,2023-07-10,2023-10-04,False,8,0.8373,0.5639,1.7767,True
194,2023-08-08,2023-11-02,False,8,-0.0935,0.5418,1.0682,True
195,2023-09-06,2023-12-01,False,8,0.8042,0.8671,2.2973,True
196,2023-10-05,2024-01-03,False,8,0.7456,0.8267,2.3326,True
197,2023-11-03,2024-02-01,False,8,1.373,1.016,2.1451,True
198,2023-12-04,2024-03-01,False,8,-0.4611,-0.0948,-0.5273,True
199,2024-01-04,2024-04-01,False,8,-0.5613,-0.8888,-2.4923,True
200,2024-02-02,2024-04-30,False,8,-1.0363,-0.7523,-1.3252,True
201,2024-03-04,2024-05-29,False,8,-0.2554,0.1911,0.8684,True
202,2024-04-02,2024-06-27,False,8,-0.1073,0.3638,1.7884,True
203,2024-05-01,2024-07-26,False,8,0.0,0.0771,-0.3845,True
204,2024-05-30,2024-08-26,False,8,-0.0958,-0.3418,-1.6686,True
205,2024-06-28,2024-09-24,False,8,-0.2125,-0.0386,-0.2035,True
206,2024-07-29,2024-10-23,False,8,0.1883,0.4224,0.9418,True
207,2024-08-27,2024-11-21,False,8,1.2249,0.9513,2.0418,True
208,2024-09-25,2024-12-20,False,8,-0.2688,-0.2587,-2.1043,True
209,2024-10-24,2025-01-21,False,8,-1.5742,-1.4616,-5.2164,True
210,2024-11-22,2025-02-19,False,8,-2.5271,-2.0626,-5.8797,True
211,2024-12-23,2025-03-20,False,8,-0.873,-1.2558,-3.2367,True
212,2025-01-22,2025-04-18,False,8,-0.3338,-0.4335,-1.4903,True
213,2025-02-20,2025-05-19,False,8,-0.0011,0.1068,-0.0387,True
214,2025-03-21,2025-06-17,False,8,-0.4948,-0.0165,-0.6632,True
215,2025-04-21,2025-07-16,False,8,0.6047,0.4142,0.3508,True
216,2025-05-20,2025-08-14,False,8,-0.0958,0.1247,-0.1902,True
217,2025-06-18,2025-09-12,False,8,0.5953,0.3767,0.5208,True
218,2025-07-17,2025-10-13,False,8,0.144,-0.3009,-0.6303,True
219,2025-08-15,2025-11-11,False,8,-0.1348,-0.2061,-0.7295,True
220,2025-09-15,2025-12-10,False,8,-1.9011,-1.3789,-2.3083,True
221,2025-10-14,2026-01-09,False,8,-0.5961,-0.2801,-1.0041,True
222,2025-11-12,2026-02-09,False,8,-0.2868,-0.4679,-1.3665,True
