bar_ts,n_edges,edge_density,mean_abs_corr,median_abs_corr,max_abs_corr,p90_abs_corr,n_components,mean_degree,min_degree,max_degree,deg_EURUSD,deg_GBPUSD,deg_USDJPY,deg_AUDUSD,deg_USDCAD,deg_USDCHF,deg_EURGBP,deg_EURJPY
2016-04-08 21:00:00,16,0.5714285714285714,0.3726846835919599,0.3904334965926868,0.8825615034644938,0.561345043664103,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-04-11 21:00:00,17,0.6071428571428571,0.37209762990927475,0.3693138537974087,0.8778846227266093,0.5384497784678387,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-12 21:00:00,16,0.5714285714285714,0.3718597872441252,0.3655557308813644,0.8766358708712728,0.5330230203926064,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-04-13 21:00:00,17,0.6071428571428571,0.3728404301902836,0.3687374802886155,0.8844550737228082,0.5354514839531476,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-14 21:00:00,16,0.5714285714285714,0.3740305274563987,0.3700525470321765,0.88740711524987,0.549198713451634,1,4.0,2,6,5,6,4,2,2,5,4,4
2016-04-15 21:00:00,17,0.6071428571428571,0.37270594519586586,0.3616918991120477,0.8859372996405442,0.5438259310552511,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-18 21:00:00,17,0.6071428571428571,0.3731874682995791,0.3576402114699454,0.8847961040596749,0.544307118581635,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-19 21:00:00,17,0.6071428571428571,0.3727172769829167,0.3626710555144198,0.8848769610712687,0.5419186142754064,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-20 21:00:00,17,0.6071428571428571,0.374700574383744,0.3652162069192526,0.8849004899763531,0.5382012854791234,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-21 21:00:00,17,0.6071428571428571,0.37534521327499704,0.3599583716341099,0.8831978835695544,0.542983987696983,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-22 21:00:00,17,0.6071428571428571,0.37468444784390487,0.35616126732753306,0.8864711650349979,0.5379300374042613,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-25 21:00:00,17,0.6071428571428571,0.3729521747741726,0.37708943931104766,0.8877678090629103,0.5293362269897273,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-26 21:00:00,17,0.6071428571428571,0.3679273528961651,0.37627213656584196,0.8850710668986592,0.5245400784700923,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-27 21:00:00,17,0.6071428571428571,0.36882416309387894,0.37871782364416967,0.8852307505020873,0.5238027849826977,1,4.25,2,6,5,6,4,2,3,5,4,5
