fold_id,test_start_ts,test_end_ts,in_2022,n_valid_assets,fold_median_sharpe,fold_mean_sharpe,fold_portfolio_sharpe,is_valid
175,2022-01-26,2022-04-22,True,8,0.2122,0.3501,1.1184,True
176,2022-02-24,2022-05-23,True,8,-0.2842,-0.3726,-1.468,True
177,2022-03-25,2022-06-21,True,8,0.2636,-0.0105,-1.7388,True
178,2022-04-25,2022-07-20,True,8,0.0665,-0.313,-1.6471,True
179,2022-05-24,2022-08-18,True,8,0.1447,0.0997,0.2202,True
180,2022-06-22,2022-09-16,True,8,0.5023,0.3856,1.0378,True
181,2022-07-21,2022-10-17,True,8,1.0463,0.0202,0.8483,True
182,2022-08-19,2022-11-15,True,8,1.0931,0.5762,2.5865,True
183,2022-09-19,2022-12-14,True,8,0.6809,0.832,2.7607,True
184,2022-10-18,2023-01-12,True,8,0.2759,0.3722,2.5061,True
185,2022-11-16,2023-02-10,True,8,-0.788,-0.6152,-0.3533,True
186,2022-12-15,2023-03-13,True,8,0.1222,0.0191,0.9568,True
187,2023-01-13,2023-04-11,False,8,0.1549,0.1897,1.6885,True
188,2023-02-13,2023-05-10,False,8,0.8,0.1581,1.5439,True
189,2023-03-14,2023-06-08,False,8,-0.2553,0.1465,0.1664,True
190,2023-04-12,2023-07-07,False,8,0.3303,0.3948,0.4736,True
191,2023-05-11,2023-08-07,False,8,-0.004,0.4938,1.6292,True
192,2023-06-09,2023-09-05,False,8,-0.1494,0.4844,1.4751,True
193,2023-07-10,2023-10-04,False,8,0.8914,0.6107,1.8747,True
194,2023-08-08,2023-11-02,False,8,-0.0703,0.6115,1.2469,True
195,2023-09-06,2023-12-01,False,8,0.9545,0.9288,2.3961,True
196,2023-10-05,2024-01-03,False,8,0.7858,0.8876,2.4236,True
197,2023-11-03,2024-02-01,False,8,1.3856,1.0383,2.1729,True
198,2023-12-04,2024-03-01,False,8,-0.4379,-0.0406,-0.4467,True
199,2024-01-04,2024-04-01,False,8,-0.509,-0.849,-2.421,True
200,2024-02-02,2024-04-30,False,8,-1.0162,-0.7143,-1.2461,True
201,2024-03-04,2024-05-29,False,8,-0.2418,0.2111,0.9041,True
202,2024-04-02,2024-06-27,False,8,-0.1004,0.3723,1.8131,True
203,2024-05-01,2024-07-26,False,8,0.0,0.0884,-0.3579,True
204,2024-05-30,2024-08-26,False,8,-0.0609,-0.2672,-1.48,True
205,2024-06-28,2024-09-24,False,8,-0.123,0.0566,0.0071,True
206,2024-07-29,2024-10-23,False,8,0.2535,0.5447,1.2012,True
207,2024-08-27,2024-11-21,False,8,1.274,1.0423,2.2522,True
208,2024-09-25,2024-12-20,False,8,-0.1019,-0.1613,-1.8437,True
209,2024-10-24,2025-01-21,False,8,-1.503,-1.3499,-4.9132,True
210,2024-11-22,2025-02-19,False,8,-2.4513,-1.9424,-5.5836,True
211,2024-12-23,2025-03-20,False,8,-0.7624,-1.1518,-3.0136,True
212,2025-01-22,2025-04-18,False,8,-0.2777,-0.3562,-1.2895,True
213,2025-02-20,2025-05-19,False,8,0.0919,0.1796,0.1617,True
214,2025-03-21,2025-06-17,False,8,-0.3762,0.0714,-0.4341,True
215,2025-04-21,2025-07-16,False,8,0.7128,0.5021,0.549,True
216,2025-05-20,2025-08-14,False,8,-0.0297,0.2166,-0.0284,True
217,2025-06-18,2025-09-12,False,8,0.6039,0.4426,0.6121,True
218,2025-07-17,2025-10-13,False,8,0.1908,-0.1989,-0.5085,True
219,2025-08-15,2025-11-11,False,8,-0.025,-0.1129,-0.5747,True
220,2025-09-15,2025-12-10,False,8,-1.7712,-1.269,-2.1106,True
221,2025-10-14,2026-01-09,False,8,-0.4423,-0.1409,-0.8007,True
222,2025-11-12,2026-02-09,False,8,-0.2513,-0.3917,-1.1972,True
